CODIGO ARTICULO,CLI,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARTICULO327,314,,,,5,,1,,,,
,835,,,,,,,1,,,
ARTICULO329,794,,,,1,,,,1,,
,7612,,,,,1,,,,,
ARTICULO331,5615,,,,2,,,,,,
ARTICULO332,314,,,,1,,,,,,
ARTICULO333,564,,,,1,,,,,,
,20200,2,,,,,,,,,
ARTICULO335,314,4,3,1,,,,,,,
,7176,2,,,,,,,,,
,7315,2,,,,,,,,,
ARTICULO338,794,1,,,,,,,,,
ARTICULO339,794,5,6,,,,,,,,
ARTICULO340,7176,2,,,,,,,,,
ARTICULO341,5615,,,2,,,,,,,
ARTICULO342,6802,,3,,,,,,,4,
ARTICULO343,4429,,,,,2,,2,,,
ARTICULO344,7403,15,,,,,,,,,
ARTICULO345,6712,,,,1,,,,,,
ARTICULO346,383,,,,,2,,,,,
ARTICULO347,838,3,,,,,3,,,,
ARTICULO348,684,,,3,,,,,,,
ARTICULO349,6252,,,1,1,,,,,,
ARTICULO350,2574,1,,,,,,,,,
ARTICULO351,314,,,,1,,1,,,,
ARTICULO352,794,,,,2,3,2,,2,,
ARTICULO353,314,,,,2,,,,,,
,794,,,,,,,,2,,1
ARTICULO355,1111,,4,,,,,,,,
ARTICULO356,8494,,,,,,,1,,,
ARTICULO357,314,3,4,1,4,,,,,,
ARTICULO358,794,,1,1,,,,,,,
ARTICULO359,314,,1,,,,,,,,
ARTICULO360,794,5,3,,,,,,,,
ARTICULO361,925,,,,,,,,,3,
,1843,,6,,6,,5,,,,
ARTICULO363,3971,,,,2,,,,2,,
ARTICULO364,684,,2,,,,2,2,,,2
ARTICULO365,794,,,1,,,,,,,
ARTICULO366,794,5,4,3,2,,,,,,
ARTICULO367,794,,,,,3,2,,,2,
ARTICULO368,6435,6,,,,,,,,,
ARTICULO369,6712,,,,,1,,,,,
ARTICULO370,8020,,,,2,,,,,,
ARTICULO371,684,1,,,2,,,,,,
ARTICULO372,6802,,,6,,,,,,,
ARTICULO373,2202,,,,,1,,,,,
,6802,,,,,,2,,6,2,5
ARTICULO375,2202,,,,,1,,,,,
ARTICULO376,8385,,,2,,,,,,,
ARTICULO377,6802,,,6,,,,,,,
ARTICULO378,6802,,,,2,,,2,,,
ARTICULO379,6802,,,2,,,,2,,,
ARTICULO380,6802,,,2,,,,,,,
ARTICULO381,5369,,,,1,,,,,,
,7498,,,,,,,,3,,
ARTICULO383,548,19,,,,,,,,,
ARTICULO384,548,20,,,,,,,,,
ARTICULO385,548,10,,,,,10,,,,
ARTICULO386,6194,,,,1,,,,,,
ARTICULO387,6787,2,2,,1,,,,,,
,6802,52,54,27,41,17,,,,,
ARTICULO389,6787,1,,,,,,,,,
ARTICULO390,6787,,,,,2,,1,,,
,6802,,,,,18,23,8,9,9,11
ARTICULO392,2202,10,,,,,,,,,
ARTICULO393,1829,,,,4,,,,,,
ARTICULO394,238,3,,2,,,,,,,
,12957,,,,,,,,,,
ARTICULO396,6787,,,,3,,,,,,
,6802,,,,4,1,,,,,
ARTICULO398,6802,72,16,15,23,7,,,,,
ARTICULO399,6802,,,,,14,39,9,22,22,32
ARTICULO400,6712,4,,,,,,,,,
ARTICULO401,6787,,,,1,,,,,,
ARTICULO402,530,6,,,,,,,,,
,2551,,,,,,5,10,,,
ARTICULO404,6802,,2,,2,2,,,,,
ARTICULO405,6787,,,,1,,,,,,
ARTICULO406,6787,,,,17,7,1,,,,
ARTICULO407,6787,,,,6,,,,,,
,6802,,,,2,1,,,,,
ARTICULO409,6787,,,,17,7,1,,,,
ARTICULO410,5027,,,2,,,,,,,
ARTICULO411,6787,,,,6,,,,,,
,6802,,,,6,1,,,,,
ARTICULO413,6802,,,,,,,6,,,
ARTICULO414,6787,,,,2,,,,,,
ARTICULO415,6802,,,2,,,,,,,
ARTICULO416,6802,54,42,51,32,47,25,2,14,,22
ARTICULO417,530,6,,,,,,,,,
ARTICULO418,6802,,4,,,,,,,,
ARTICULO419,6787,,,,2,,,,,,
ARTICULO420,238,4,2,2,,,,,,,
,6802,,8,10,,,,,,,
ARTICULO422,6802,,,,10,,,10,,,
,7612,,,,,,,,,3,
ARTICULO424,3184,,,,,2,,,,,
ARTICULO425,6802,12,52,12,13,21,,,,,
,7612,2,,2,,,,,,,
ARTICULO427,6802,54,45,58,38,20,,,,,
ARTICULO428,6802,,,,11,47,62,20,,,
ARTICULO429,2551,,,,,,,2,,,
,6802,,,,,10,24,10,20,14,10
,7612,,,,,,,,2,,
ARTICULO432,3184,,,,,2,,,,,
ARTICULO433,898,22,,12,,12,,,,,
,7176,2,,,,,,,,,
ARTICULO435,684,,,,,,,,2,,
,898,5,,,,,,,,,
ARTICULO437,238,7,3,6,,5,,,,,
,3971,,,,1,,,,,,
,6802,,,1,,,,,,,
ARTICULO440,3971,,,,,6,,,,,
ARTICULO441,238,4,8,8,,,,,,,
ARTICULO442,238,,,,4,2,,,,,
,4077,,,,,,,,,3,
,6802,,,,,,,1,,,
ARTICULO445,605,2,,,,,,,,,
ARTICULO446,238,,3,3,3,,,,,,
,7176,,7,4,,,,,,,
ARTICULO448,238,4,2,4,2,,,,,,
,6802,,1,1,,,,2,1,,
,7176,,,4,,,,,,,
ARTICULO451,2202,,,,5,,,,,,
ARTICULO452,9418,,,,,,,1,,,
ARTICULO453,6787,,,2,2,,,,,,1
,6938,,,,2,,,,,,
ARTICULO455,7176,2,4,,,,,,,,
ARTICULO456,1331,,,4,,,,,,,
ARTICULO457,2574,,2,,,,,,,,
,6728,,1,,,,,,,,
ARTICULO459,419,0,,,,,,,,,
ARTICULO460,3923,1,,,,,,,,,
ARTICULO461,592,,,,,,2,,,,
,935,2,,,,,,,,,
ARTICULO463,6802,,,1,,1,,,,,
ARTICULO464,6802,,,,,1,,,,,
ARTICULO465,238,,3,,,,,,,,
ARTICULO466,6802,,,4,,,,,,,
ARTICULO467,6787,,1,,,,,,,,
,6802,40,53,41,26,,,,,,
ARTICULO469,6802,,,,10,49,48,46,69,32,34
ARTICULO470,6802,,1,,,,,,,,
ARTICULO471,530,2,5,,,,,,,,
,6802,1,1,,,,,,,,
ARTICULO473,2121,,,,,,3,,,,
,6802,,,,1,2,2,2,,,
ARTICULO475,6802,2,,,,,,,,,
ARTICULO476,2121,,,,2,2,,,,,
ARTICULO477,419,12,3,,,,,,,,
ARTICULO478,6802,102,69,89,112,,,,,,
ARTICULO479,6802,,,,,91,87,,,,
ARTICULO480,6802,,,,,20,,,,,
ARTICULO481,6802,,,11,,,,,,,
ARTICULO482,6802,,,,3,,,,,,
ARTICULO483,6802,,2,1,16,5,8,4,6,8,5
ARTICULO484,2219,2,,,,,,,,,
ARTICULO485,794,,,1,,,,,1,,
ARTICULO486,794,,,,,1,,,,,
ARTICULO487,794,1,2,2,,,,,,,
ARTICULO488,794,3,,,1,,,2,,,
,6853,,2,,,,,,,,
ARTICULO490,794,1,,,,,3,,,,
ARTICULO491,794,,,,,2,,,,,
ARTICULO492,452,,1,,,,,,1,,
,80555,1,2,,1,2,,2,1,1,
ARTICULO494,374,5,,,,,,,,,
ARTICULO495,7284,1,,,,,,,,,
ARTICULO496,289,2,,,,,,,,,
ARTICULO497,6802,,,2,1,,,2,1,,
ARTICULO498,314,,,,4,,2,,,,
ARTICULO499,1111,,8,,,,,,,,
ARTICULO500,787,,,,1,,,,,,
,6338,,,1,,,,,,,
ARTICULO502,6802,8,,,,,,,,,
ARTICULO503,6983,,,,,,,,,,1
ARTICULO504,314,,,,1,,,,,,
,684,1,,6,2,,2,,,,
,794,54,85,6,2,,,,,7,
,6853,,,1,,,,,,,
ARTICULO508,2655,9,10,,,,,,,,
ARTICULO509,4260,,,,,4,,2,,,
ARTICULO510,933,,1,,,,,,,,
ARTICULO511,902,,,,,,,9,,,
ARTICULO512,794,3,2,,,,,,,,
ARTICULO513,4429,4,,,2,,,,,,
ARTICULO514,208,,2,,,,,,,,
ARTICULO515,8689,,,,1,,,,,,
ARTICULO516,5615,,2,2,2,,2,,,,
ARTICULO517,314,2,2,1,,,,,,,
,794,2,3,1,,,,,,,
,6853,,,,,2,,,,,
ARTICULO520,6802,1,,,,,,,,,
ARTICULO521,794,3,6,15,,,,,,,
ARTICULO522,1091,,,,3,,,,,,
ARTICULO523,3881,1,,,,,,,,,
ARTICULO524,1920,1,,,,,,,,,
ARTICULO525,6802,,,,1,,,,,,
ARTICULO526,1773,,,3,3,,,3,,,
ARTICULO527,564,,,,,1,,,,,
ARTICULO528,3586,,,,,,,,,,4
,8020,,,6,12,10,6,6,6,,6
ARTICULO530,3971,,,,,,,,,1,
ARTICULO531,6901,,,,1,,,,,,
ARTICULO532,314,,2,,,,,,,,
ARTICULO533,314,,1,,2,,,,,,
ARTICULO534,314,,5,,,,,,,,
ARTICULO535,794,4,,,,,,,,,
,6754,5,7,2,,4,3,1,8,2,
ARTICULO537,2053,1,,,,,,,,,
